genes_renamed,descriptions,gene_biotypes,n_species,species_sharing,Bonobo_Ppa,Chimp_Pt,AFR_hsa
CNTN6,contactin 6,NA,1,chimp_only,NA,6.37,NA
COL4A2,collagen type IV alpha 2 chain,protein_coding,1,bonobo_only,9.56,NA,NA
COLEC11,collectin subfamily member 11,protein_coding,1,bonobo_only,6.11,NA,NA
CPE,NA,protein_coding,1,human_only,NA,NA,7.007675523
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,protein_coding,1,bonobo_only,6.29,NA,NA
CSNK1G2,casein kinase 1 gamma 2,protein_coding,1,bonobo_only,7.17,NA,NA
CTDP1,CTD phosphatase subunit 1,protein_coding,1,bonobo_only,10.7,NA,NA
CTNNA3,NA,protein_coding,1,human_only,NA,NA,7.428194589
DCLRE1C,protein artemis-like,protein_coding,1,bonobo_only,6.42,NA,NA
DDI2,DNA damage inducible 1 homolog 2,NA,1,chimp_only,NA,7.11,NA
DEAF1,DEAF1 transcription factor,protein_coding,1,bonobo_only,7.65,NA,NA
DMBT1,NA,protein_coding,1,human_only,NA,NA,6.672583551
DNAH17,dynein axonemal heavy chain 17,protein_coding,1,bonobo_only,6.26,NA,NA
DNAH9,dynein axonemal heavy chain 9,NA,1,chimp_only,NA,6.07,NA
DOK6,docking protein 6,protein_coding,1,bonobo_only,6.58,NA,NA
DOK7,docking protein 7,NA,1,chimp_only,NA,6.23,NA
DPEP1,dipeptidase 1,protein_coding,1,bonobo_only,6.27,NA,NA
DPH7,diphthamide biosynthesis 7,protein_coding,1,bonobo_only,11.32,NA,NA
DPP10,dipeptidyl peptidase like 10,NA,1,chimp_only,NA,6.58,NA
DPP7,dipeptidyl peptidase 7,protein_coding,1,bonobo_only,9.48,NA,NA
EDIL3,EGF like repeats and discoidin domains 3,NA,1,chimp_only,NA,6.22,NA
EEF2KMT,protein-lysine N-methyltransferase EEF2KMT-like,protein_coding,1,bonobo_only,7.95,NA,NA
EHMT1,euchromatic histone lysine methyltransferase 1,protein_coding,1,bonobo_only,10.6,NA,NA
EIF5B,translation initiation factor IF-2,protein_coding,1,bonobo_only,8.05,NA,NA
ENSG00000223786,NA,lncRNA,1,human_only,NA,NA,6.672848164
