loc_name	new_symbol	description
LOC124905615	NA	testis-specific Y-encoded protein 3
LOC124905628	NA	testis-specific Y-encoded protein 3
LOC128966647	NA	testis-specific Y-encoded protein 3
LOC124905614	NA	testis-specific Y-encoded protein 3
LOC124908978	NA	testis-specific Y-encoded protein 3
LOC124905618	NA	testis-specific Y-encoded protein 3-like
LOC124905616	NA	testis-specific Y-encoded protein 3
LOC124908979	NA	testis-specific Y-encoded protein 3
LOC124905621	NA	testis-specific Y-encoded protein 3
LOC124908981	NA	testis-specific Y-encoded protein 3
LOC124909305	NA	testis-specific Y-encoded protein 4-like
LOC124909306	NA	testis-specific Y-encoded protein 3-like
LOC124908980	NA	testis-specific Y-encoded protein 3
LOC124909084	NA	testis-specific Y-encoded protein 3-like
LOC124909320	NA	testis-specific Y-encoded protein 3-like
LOC124909329	NA	testis-specific Y-encoded protein 4-like
LOC124909330	NA	testis-specific Y-encoded protein 1-like
LOC124909317	NA	testis-specific Y-encoded protein 4-like
LOC124909318	NA	testis-specific Y-encoded protein 3-like
LOC124909093	NA	testis-specific Y-encoded protein 3-like
LOC124909293	NA	testis-specific Y-encoded protein 4
LOC124909294	NA	testis-specific Y-encoded protein 3
LOC124905627	NA	testis-specific Y-encoded protein 4-like
LOC124905619	NA	testis-specific Y-encoded protein 3-like
LOC124905620	NA	testis-specific Y-encoded protein 3
LOC124905617	NA	testis-specific Y-encoded protein 3
LOC128966599	NA	testis-specific Y-encoded protein 3
LOC128966655	NA	testis-specific Y-encoded protein 3
LOC124909197	NA	testis-specific Y-encoded protein 3-like
LOC128966591	NA	testis-specific Y-encoded protein 4-like
LOC124908905	NA	WAS protein family homolog 6-like
LOC129144512	NA	MAM and LDL-receptor class A domain-containing protein 1-like
LOC129136592	NA	MAM and LDL-receptor class A domain-containing protein 1-like
LOC107972962	NA	bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7-like
LOC107969093	NA	spectrin beta chain, non-erythrocytic 5-like
LOC134807455	NA	mitogen-activated protein kinase-binding protein 1-like
LOC456647	NA	WAS protein family homolog 2
LOC100612202	NA	small ribosomal subunit protein uS19-like
LOC129136598	NA	large ribosomal subunit protein eL13-like
LOC129136506	NA	putative glycosyltransferase ALG1L2
LOC750731	NA	ubiquitin carboxyl-terminal hydrolase 17-like protein 6
LOC134806924	KLRG1	killer cell lectin like receptor G1
LOC107967740	NA	small ribosomal subunit protein eS17-like
LOC107967437	NA	ovostatin-like
LOC465369	NA	ovostatin homolog 2
LOC134806925	CLEC2D	C-type lectin domain family 2 member D
LOC107973221	NA	NKG2-C type II integral membrane protein
LOC739542	NA	salivary acidic proline-rich phosphoprotein 1/2
LOC739490	NA	taste receptor type 2 member 46
LOC112204978	NA	taste receptor type 2 member 19
LOC739229	NA	taste receptor type 2 member 45
LOC100609864	NA	taste receptor type 2 member 30-like
LOC129136604	NA	basic salivary proline-rich protein 3
LOC112204985	SLCO1B3	solute carrier organic anion transporter family member 1B3-like
LOC743902	NA	T-box transcription factor TBX20-like
LOC467020	NA	olfactory receptor 10A7
LOC467016	NA	olfactory receptor 9K2-like
LOC466972	NA	olfactory receptor 8S1
LOC129136645	PTMA	prothymosin alpha
