Sample	id	type	dataset	p1	p2	HPRC_meta.Population	HPRC_PANPAN.color	hgdp_tgp_meta.Genetic.region	hgdp_tgp_meta.Study.region	SpeciesCode	Cell	Birth	hgdp_tgp_meta.Latitude	hgdp_tgp_meta.Longitude	hgdp_tgp_meta.Continent.colors	hgdp_tgp_meta.Pop.colors	project_meta.sex	observations
mPanPan1	mPanPan1.hap2	hap2	PANPAN	Bonobo	AFR	Bonobo	#e9d7cb	AFR	Pan paniscus	Ppan	LCL	captive	2.23	18.15	#e9d7cb	#e9d7cb	male	this is PR00251
PR00496A	PR00496A.hap1	hap1	PANPAN	Central chimpanzee	AFR	Central chimpanzee	#4c5d4c	AFR	Pan troglodytes troglodytes	Ptt	LCL	wild	2.23	18.15	#4c5d4c	#4c5d4c	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00496A	PR00496A.hap2	hap2	PANPAN	Central chimpanzee	AFR	Central chimpanzee	#4c5d4c	AFR	Pan troglodytes troglodytes	Ptt	LCL	wild	2.23	18.15	#4c5d4c	#4c5d4c	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00115	PR00115.hap1	hap1	PANPAN	Central chimpanzee	AFR	Central chimpanzee	#4c5d4c	AFR	Pan troglodytes troglodytes	Ptt	Fibroblast	captive	6	-9	#4c5d4c	#4c5d4c	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00115	PR00115.hap2	hap2	PANPAN	Central chimpanzee	AFR	Central chimpanzee	#4c5d4c	AFR	Pan troglodytes troglodytes	Ptt	Fibroblast	captive	6	-9	#4c5d4c	#4c5d4c	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00512	PR00512.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	Fibroblast	wild	-0.232861	12.888962	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00512	PR00512.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	Fibroblast	wild	-0.232861	12.888962	#9dced9	#9dced9	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00834	PR00834.hap1	hap1	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes troglodytes	Ptv x Ptt	LCL	captive	-0.232861	12.888962	#bbc671	#bbc671	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00834	PR00834.hap2	hap2	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes troglodytes	Ptv x Ptt	LCL	captive	-0.232861	12.888962	#bbc671	#bbc671	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00838	PR00838.hap1	hap1	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes troglodytes	Ptv x Ptt	LCL	captive	6	-9	#bbc671	#bbc671	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR00838	PR00838.hap2	hap2	PANPAN	Western x Central hybrid	AFR	Western x Central hybrid	#bbc671	AFR	Pan troglodytes troglodytes	Ptv x Ptt	LCL	captive	6	-9	#bbc671	#bbc671	female	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01100	PR01100.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	captive	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01100	PR01100.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	captive	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01223	PR01223.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01223	PR01223.hap2	hap2	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
PR01225	PR01225.hap1	hap1	PANPAN	Western chimpanzee	AFR	Western chimpanzee	#9dced9	AFR	Pan troglodytes verus	Ptv	LCL	wild	6	-9	#9dced9	#9dced9	male	non-HPRC coordinates are purely speculative and do not reflect geographical origins
