name,human,chimpanzee,bonobo,description
TOGARAM2,4,4,3,TOG array regulator of axonemal microtubules 2
TP53I13,4,4,3,tumor protein p53 inducible protein 13
TRAFD1,4,4,3,TRAF-type zinc finger domain containing 1
TRAP1,4,4,3,TNF receptor associated protein 1
TRIM22,4,4,3,tripartite motif containing 22
TRIM31,4,4,3,tripartite motif containing 31
TRIM5,4,4,3,tripartite motif containing 5
TRMU,4,4,3,tRNA mitochondrial 2-thiouridylase
TSEN2,4,4,3,tRNA splicing endonuclease subunit 2
TTC12,4,4,3,tetratricopeptide repeat domain 12
TVP23A,4,4,3,trans-golgi network vesicle protein 23 homolog A
TXNDC16,4,4,3,thioredoxin domain containing 16
TXNDC8,4,4,3,thioredoxin domain containing 8
UBE4B,4,4,3,ubiquitination factor E4B
UBXN8,4,4,3,UBX domain protein 8
UGGT2,4,4,3,UDP-glucose glycoprotein glucosyltransferase 2
UGT3A1,4,4,3,UDP glycosyltransferase family 3 member A1
UMODL1,4,4,3,uromodulin like 1
USP36,4,4,3,ubiquitin specific peptidase 36
USP54,4,4,3,ubiquitin specific peptidase 54
USP6,4,4,3,ubiquitin specific peptidase 6
VWDE,4,4,3,von Willebrand factor D and EGF domains
WDR33,4,4,3,WD repeat domain 33
WDR86,4,4,3,WD repeat domain 86
WRN,4,4,3,WRN RecQ like helicase
ZBBX,4,4,3,zinc finger B-box domain containing
ZFP91,4,4,3,ZFP91 zinc finger protein%2C atypical E3 ubiquitin ligase
ZNF135,4,4,3,zinc finger protein 135
ZNF160,4,4,3,zinc finger protein 160
ZNF208,4,4,3,zinc finger protein 208
ZNF214,4,4,3,zinc finger protein 214
ZNF283,4,4,3,zinc finger protein 283
ZNF30,4,4,3,zinc finger protein 30
ZNF366,4,4,3,zinc finger protein 366
ZNF419,4,4,3,zinc finger protein 419
ZNF438,4,4,3,zinc finger protein 438
ZNF451,4,4,3,zinc finger protein 451
ZNF480,4,4,3,zinc finger protein 480
ZNF510,4,4,3,zinc finger protein 510
ZNF594,4,4,3,zinc finger protein 594
ZNF615,4,4,3,zinc finger protein 615
ZNF616,4,4,3,zinc finger protein 616
ZNF623,4,4,3,zinc finger protein 623
ZNF667,4,4,3,zinc finger protein 667
ZNF717,4,4,3,zinc finger protein 717
ZNF718,4,4,3,zinc finger protein 718
ZNF727,4,4,3,zinc finger protein 727
ZNF839,4,4,3,zinc finger protein 839
ZSCAN21,4,4,3,zinc finger and SCAN domain containing 21
ABCA2,4,3,4,ATP binding cassette subfamily A member 2
ABO,4,3,4,ABO%2C alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
ADCYAP1,4,3,4,adenylate cyclase activating polypeptide 1
AGAP6,4,3,4,ArfGAP with GTPase domain%2C ankyrin repeat and PH domain 6
AK3,4,3,4,adenylate kinase 3
AKNAD1,4,3,4,AKNA domain containing 1
AKR1E2,4,4,4,aldo-keto reductase family 1 member E2
ALDH1B1,4,4,4,aldehyde dehydrogenase 1 family member B1
ALDH3B2,4,3,4,aldehyde dehydrogenase 3 family member B2
ANGEL1,4,3,4,angel homolog 1
